license_no,company,state,postcode,phone,address,license_year,osa_code
MALLP20261129,Tropika TMed Sdn. Bhd.,Selangor,68100,0361280040,"53 & 54, Jalan Indah 10E, Taman Perindustrian Selayang Indah, , BATU CAVES",2026,1138106
MALLP20261413,ENVIROTECH INDUSTRY SDN BHD,Perak,31600,053511999,"LOT 9840, MUKIM TEJA, KAMPUNG PINTU PADANG, , GOPENG",2026,1104853
MALLP20261126,RAYSON LABORATORIES SDN BHD,Selangor,48000,0362720553,"NO. 20, JALAN KESIDANG 1, RCI PARK, KAWASAN PERINDUSTRIAN SG CHOH, RAWANG",2026,1120123
MALLP20261125,KIN HERBS PHARMA SDN BHD,W.P. Kuala Lumpur,52200,03-62767758,"NO. 4, JALAN KIP 10, TAMAN PERINDUSTRIAN KIP, , KEPONG",2026,2328
MALLP20261216A,Thye Pharma Sdn. Bhd,Pulau Pinang,14000,04-5017666/04-5017667,"No. 2, Lorong Industri Ringan Permatang Tinggi 8, Kawasan Industri Ringan Permatang Tinggi, , BUKIT MERTAJAM",2026,940044
MALLP20261127,NATURE`S HEALTH PRODUCTS (M) SDN. BHD.,Selangor,42920,03-3324 6733 / 016-2296733,"NO. 186, JALAN PERIGI NANAS 8/15, PULAU INDAH INDUSTRIAL PARK, , WEST PORT",2026,49858
MALLP20261124,TST BIOCEUTICAL SDN. BHD.,Perak,30100,605-5292020,"No. 30, Jalan Perindustrian Silibin 1, Kawasan Perindustrian Ringan Silibin, , IPOH",2026,1019801
MALLP20261411,WEN JIANG MEDICAL INDUSTRIES SDN. BHD.,Perak,30100,055268811,"NO. 70, LENGKOK RISHAH 2, KAWASAN PERINDUSTRIAN SILIBIN, , IPOH",2026,74955
MALLP20260632,LEN FA MEDICAL SUPPLIES (M) SDN BHD,Selangor,47000,603-61573232,"LOT 41, JALAN BRP 9/2B, KAWASAN PERINDUSTRIAN TAMAN BUKIT RAHMAN PUTRA, , SUNGAI BULOH",2026,2847
MALLP20260267,J.B. PHARMACY GROUP SDN. BHD.,Kedah,05400,04-7713086,"628, KAWASAN PERUSAHAAN TANDOP BARU, , , ALOR SETAR",2026,1872
MALLP20260118,21ST CENTURY PRODUCTS SDN. BHD.,Selangor,47500,03-56325041,"NO. 9, JALAN SS 13/6A, , , SUBANG JAYA",2026,56919
MALLP20260213A,N.S. LABORATORY SDN. BHD.,Negeri Sembilan,70300,06-6013035,"54, Jalan S2C2, Green Technology Park, , Seremban 2, , SEREMBAN",2026,1144074
MALLP20260113,RADIUS LABORATORY SUPPLEMENT,Kedah,09100,01151327212,"NO. 1-3, BENGKEL PEKAN BARU, PEKAN KAMPUNG LALANG, , BALING",2026,1271378
MALLP20260154A,Shennong Animal Health (Malaysia) Sdn. Bhd.,Selangor,47610,03-80114646,"No. 2, 4, 6, 8 & 10, Jalan Industri USJ 1/19, Taman Perindustrian USJ 1, SUBANG JAYA",2026,1125279
MALLP20260112,HERBAL SCIENCE SDN. BHD.,Selangor,47300,03 - 77850689,"NO. 2A, JALAN SS8/6, SG. WAY FREE INDUSTRIAL ZONE, , PETALING JAYA",2026,1192466
MALLP20260115,HERBAL SCIENCE SDN. BHD.,Selangor,46000,03 - 77850689,"NO. 100, JALAN PJS 3/5, , PETALING JAYA",2026,1020270
MALLP20260469A,DUOPHARMA (M) SENDIRIAN BERHAD,Selangor,41200,603-33231368,"LOT 2599, JALAN SERULING 59,, KAWASAN 3, TAMAN KLANG JAYA,, , KLANG",2026,1020100
MALLP20260117,BESFOMEC INDUSTRIES SDN. BHD.,Melaka,78000,606-5562709 / 017-5806522,"LOT 1, KAWASAN PERINDUSTRIAN ALOR GAJAH III, , ALOR GAJAH",2026,1282
MALLP20260114,HERBAL SCIENCE SDN. BHD.,Selangor,46000,03 - 77850689,"NO. 21, JALAN PJS 3/1, , PETALING JAYA",2026,1274
MALLP20260963,Dong Foong Manufacturing Sdn Bhd,Selangor,43000,0387415657,"NO. 40 & 42, JALAN SEKSYEN 1/21, TAMAN KAJANG UTAMA,, , , KAJANG",2026,1020253
MALLP20260340,Rising Sun Enrich Sdn Bhd,Selangor,43300,0395479927,"No. 8, Jalan Equine 1H, Pusat Komersial Equine, Taman Equine Park, , SERI KEMBANGAN",2026,1110272
MALLP20260088,Sun Beans Foods Industries Sdn. Bhd.,Pulau Pinang,14000,04-5888620,"7, 9, 11, Lorong Pala 4, Kawasan Perindustrian RIngan Permatang Tinggi,, , , BUKIT MERTAJAM",2026,1020223
MALLP20260156A,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,Selangor,43650,03-89242188,"LOT NO. 2 & 4,, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE, BANDAR BARU BANGI",2026,518
MALLP20260157,Leung Kai Fook Medical Sdn. Bhd.,Johor,80350,072668088,"No. 2, Jalan Asas, Larkin Industrial Estate, , JOHOR BAHRU",2026,1020252
MALLP20260087A,BIOCON SDN BHD,Johor,79200,6075600000,"No. 1, Jalan Bioteknologi 1, Kawasan Perindustrian SiLC, , ISKANDAR PUTERI",2026,953573
MALLP20260120,DCH CONTRACT MANUFACTURING SDN. BHD.,Selangor,40300,0355416600,"LOT 6, PERSIARAN PERUSAHAAN, SEKSYEN 23, , SHAH ALAM",2026,5415
MALLP20260891,MAESTRO BIOTECH SDN BHD,Johor,84800,0126106218,"NO. 14, JALAN PERINDUSTRIAN, TAMAN PERINDUSTRIAN BUKIT GAMBIR, , TANGKAK",2026,1020266
MALLP20260463,SEUTIC PACK SDN BHD.,W.P. Kuala Lumpur,52100,0

... [Content truncated, total 44,161 chars] ...
